date, url, number
18-09-2025, https://www.youtube.com/watch?v=gAmlRU3mr5M, 1
27-09-2025, https://www.youtube.com/watch?v=Wp9qfIXLUrc, 2
04-10-2025, https://www.youtube.com/watch?v=DDCBrQw-Kcg, 3
10-10-2025, https://www.youtube.com/watch?v=_uG-WoYNvqs, 4
18-10-2025, https://www.youtube.com/watch?v=AzgD0ke_PlE, 5
02-11-2025, https://www.youtube.com/watch?v=acDBj4PZTDA, 6
02-11-2025, https://www.youtube.com/watch?v=LeHZknxw6k4, 7
08-11-2025, https://www.youtube.com/watch?v=_Qa7MU8k0So, 8
22-11-2025, https://www.youtube.com/watch?v=VqBylIJem4s, 9
29-11-2025, https://www.youtube.com/watch?v=1T0Sq0x4A4M, 10
14-12-2025, https://www.youtube.com/watch?v=mX3tPmvRQYU, 11
